id	name	test1	test2	test3
12065	消灭4804733个敌人	1,4804733	1,2,3,9402	1,1;2,2;3,9401
12066	消灭4804734个敌人	1,4804734	1,2,3,9403	1,1;2,2;3,9402
12067	消灭4804735个敌人	1,4804735	1,2,3,9404	1,1;2,2;3,9403
12068	消灭4804736个敌人	1,4804736	1,2,3,9405	1,1;2,2;3,9404
12069	消灭4804737个敌人	1,4804737	1,2,3,9406	1,1;2,2;3,9405
12070	消灭4804738个敌人	1,4804738	1,2,3,9407	1,1;2,2;3,9406
12071	消灭4804739个敌人	1,4804739	1,2,3,9408	1,1;2,2;3,9407
12072	消灭4804740个敌人	1,4804740	1,2,3,9409	1,1;2,2;3,9408
12073	消灭4804741个敌人	1,4804741	1,2,3,9410	1,1;2,2;3,9409
12074	消灭4804742个敌人	1,4804742	1,2,3,9411	1,1;2,2;3,9410
12075	消灭4804743个敌人	1,4804743	1,2,3,9412	1,1;2,2;3,9411
12076	消灭4804744个敌人	1,4804744	1,2,3,9413	1,1;2,2;3,9412
12077	消灭4804745个敌人	1,4804745	1,2,3,9414	1,1;2,2;3,9413
12078	消灭4804746个敌人	1,4804746	1,2,3,9415	1,1;2,2;3,9414
12079	消灭4804747个敌人	1,4804747	1,2,3,9416	1,1;2,2;3,9415
12080	消灭4804748个敌人	1,4804748	1,2,3,9417	1,1;2,2;3,9416
12081	消灭4804749个敌人	1,4804749	1,2,3,9418	1,1;2,2;3,9417
12082	消灭4804750个敌人	1,4804750	1,2,3,9419	1,1;2,2;3,9418
12083	消灭4804751个敌人	1,4804751	1,2,3,9420	1,1;2,2;3,9419
12084	消灭4804752个敌人	1,4804752	1,2,3,9421	1,1;2,2;3,9420
12085	消灭4804753个敌人	1,4804753	1,2,3,9422	1,1;2,2;3,9421
12086	消灭4804754个敌人	1,4804754	1,2,3,9423	1,1;2,2;3,9422
12087	消灭4804755个敌人	1,4804755	1,2,3,9424	1,1;2,2;3,9423
12088	消灭4804756个敌人	1,4804756	1,2,3,9425	1,1;2,2;3,9424
12089	消灭4804757个敌人	1,4804757	1,2,3,9426	1,1;2,2;3,9425
12090	消灭4804758个敌人	1,4804758	1,2,3,9427	1,1;2,2;3,9426
12091	消灭4804759个敌人	1,4804759	1,2,3,9428	1,1;2,2;3,9427
12092	消灭4804760个敌人	1,4804760	1,2,3,9429	1,1;2,2;3,9428
12093	消灭4804761个敌人	1,4804761	1,2,3,9430	1,1;2,2;3,9429
12094	消灭4804762个敌人	1,4804762	1,2,3,9431	1,1;2,2;3,9430
12095	消灭4804763个敌人	1,4804763	1,2,3,9432	1,1;2,2;3,9431
12096	消灭4804764个敌人	1,4804764	1,2,3,9433	1,1;2,2;3,9432
12097	消灭4804765个敌人	1,4804765	1,2,3,9434	1,1;2,2;3,9433
12098	消灭4804766个敌人	1,4804766	1,2,3,9435	1,1;2,2;3,9434
12099	消灭4804767个敌人	1,4804767	1,2,3,9436	1,1;2,2;3,9435
12100	消灭4804768个敌人	1,4804768	1,2,3,9437	1,1;2,2;3,9436
12101	消灭4804769个敌人	1,4804769	1,2,3,9438	1,1;2,2;3,9437
12102	消灭4804770个敌人	1,4804770	1,2,3,9439	1,1;2,2;3,9438
12103	消灭4804771个敌人	1,4804771	1,2,3,9440	1,1;2,2;3,9439
12104	消灭4804772个敌人	1,4804772	1,2,3,9441	1,1;2,2;3,9440
12105	消灭4804773个敌人	1,4804773	1,2,3,9442	1,1;2,2;3,9441
12106	消灭4804774个敌人	1,4804774	1,2,3,9443	1,1;2,2;3,9442
12107	消灭4804775个敌人	1,4804775	1,2,3,9444	1,1;2,2;3,9443
12108	消灭4804776个敌人	1,4804776	1,2,3,9445	1,1;2,2;3,9444
12109	消灭4804777个敌人	1,4804777	1,2,3,9446	1,1;2,2;3,9445
12110	消灭4804778个敌人	1,4804778	1,2,3,9447	1,1;2,2;3,9446
12111	消灭4804779个敌人	1,4804779	1,2,3,9448	1,1;2,2;3,9447
12112	消灭4804780个敌人	1,4804780	1,2,3,9449	1,1;2,2;3,9448
12113	消灭4804781个敌人	1,4804781	1,2,3,9450	1,1;2,2;3,9449
12114	消灭4804782个敌人	1,4804782	1,2,3,9451	1,1;2,2;3,9450
12115	消灭4804783个敌人	1,4804783	1,2,3,9452	1,1;2,2;3,9451
12116	消灭4804784个敌人	1,4804784	1,2,3,9453	1,1;2,2;3,9452
12117	消灭4804785个敌人	1,4804785	1,2,3,9454	1,1;2,2;3,9453
12118	消灭4804786个敌人	1,4804786	1,2,3,9455	1,1;2,2;3,9454
12119	消灭4804787个敌人	1,4804787	1,2,3,9456	1,1;2,2;3,9455
12120	消灭4804788个敌人	1,4804788	1,2,3,9457	1,1;2,2;3,9456
12121	消灭4804789个敌人	1,4804789	1,2,3,9458	1,1;2,2;3,9457
12122	消灭4804790个敌人	1,4804790	1,2,3,9459	1,1;2,2;3,9458
12123	消灭4804791个敌人	1,4804791	1,2,3,9460	1,1;2,2;3,9459
12124	消灭4804792个敌人	1,4804792	1,2,3,9461	1,1;2,2;3,9460
12125	消灭4804793个敌人	1,4804793	1,2,3,9462	1,1;2,2;3,9461
12126	消灭4804794个敌人	1,4804794	1,2,3,9463	1,1;2,2;3,9462
12127	消灭4804795个敌人	1,4804795	1,2,3,9464	1,1;2,2;3,9463
12128	消灭4804796个敌人	1,4804796	1,2,3,9465	1,1;2,2;3,9464
12129	消灭4804797个敌人	1,4804797	1,2,3,9466	1,1;2,2;3,9465
12130	消灭4804798个敌人	1,4804798	1,2,3,9467	1,1;2,2;3,9466
12131	消灭4804799个敌人	1,4804799	1,2,3,9468	1,1;2,2;3,9467
12132	消灭4804800个敌人	1,4804800	1,2,3,9469	1,1;2,2;3,9468
12133	消灭4804801个敌人	1,4804801	1,2,3,9470	1,1;2,2;3,9469
12134	消灭4804802个敌人	1,4804802	1,2,3,9471	1,1;2,2;3,9470
12135	消灭4804803个敌人	1,4804803	1,2,3,9472	1,1;2,2;3,9471
12136	消灭4804804个敌人	1,4804804	1,2,3,9473	1,1;2,2;3,9472
12137	消灭4804805个敌人	1,4804805	1,2,3,9474	1,1;2,2;3,9473
12138	消灭4804806个敌人	1,4804806	1,2,3,9475	1,1;2,2;3,9474
12139	消灭4804807个敌人	1,4804807	1,2,3,9476	1,1;2,2;3,9475
12140	消灭4804808个敌人	1,4804808	1,2,3,9477	1,1;2,2;3,9476
12141	消灭4804809个敌人	1,4804809	1,2,3,9478	1,1;2,2;3,9477
12142	消灭4804810个敌人	1,4804810	1,2,3,9479	1,1;2,2;3,9478
12143	消灭4804811个敌人	1,4804811	1,2,3,9480	1,1;2,2;3,9479
12144	消灭4804812个敌人	1,4804812	1,2,3,9481	1,1;2,2;3,9480
12145	消灭4804813个敌人	1,4804813	1,2,3,9482	1,1;2,2;3,9481
12146	消灭4804814个敌人	1,4804814	1,2,3,9483	1,1;2,2;3,9482
12147	消灭4804815个敌人	1,4804815	1,2,3,9484	1,1;2,2;3,9483
12148	消灭4804816个敌人	1,4804816	1,2,3,9485	1,1;2,2;3,9484
12149	消灭4804817个敌人	1,4804817	1,2,3,9486	1,1;2,2;3,9485
12150	消灭4804818个敌人	1,4804818	1,2,3,9487	1,1;2,2;3,9486
12151	消灭4804819个敌人	1,4804819	1,2,3,9488	1,1;2,2;3,9487
12152	消灭4804820个敌人	1,4804820	1,2,3,9489	1,1;2,2;3,9488
12153	消灭4804821个敌人	1,4804821	1,2,3,9490	1,1;2,2;3,9489
12154	消灭4804822个敌人	1,4804822	1,2,3,9491	1,1;2,2;3,9490
12155	消灭4804823个敌人	1,4804823	1,2,3,9492	1,1;2,2;3,9491
12156	消灭4804824个敌人	1,4804824	1,2,3,9493	1,1;2,2;3,9492
12157	消灭4804825个敌人	1,4804825	1,2,3,9494	1,1;2,2;3,9493
12158	消灭4804826个敌人	1,4804826	1,2,3,9495	1,1;2,2;3,9494
12159	消灭4804827个敌人	1,4804827	1,2,3,9496	1,1;2,2;3,9495
12160	消灭4804828个敌人	1,4804828	1,2,3,9497	1,1;2,2;3,9496
12161	消灭4804829个敌人	1,4804829	1,2,3,9498	1,1;2,2;3,9497
12162	消灭4804830个敌人	1,4804830	1,2,3,9499	1,1;2,2;3,9498
12163	消灭4804831个敌人	1,4804831	1,2,3,9500	1,1;2,2;3,9499
12164	消灭4804832个敌人	1,4804832	1,2,3,9501	1,1;2,2;3,9500
12165	消灭4804833个敌人	1,4804833	1,2,3,9502	1,1;2,2;3,9501
12166	消灭4804834个敌人	1,4804834	1,2,3,9503	1,1;2,2;3,9502
12167	消灭4804835个敌人	1,4804835	1,2,3,9504	1,1;2,2;3,9503
12168	消灭4804836个敌人	1,4804836	1,2,3,9505	1,1;2,2;3,9504
12169	消灭4804837个敌人	1,4804837	1,2,3,9506	1,1;2,2;3,9505
12170	消灭4804838个敌人	1,4804838	1,2,3,9507	1,1;2,2;3,9506
12171	消灭4804839个敌人	1,4804839	1,2,3,9508	1,1;2,2;3,9507
12172	消灭4804840个敌人	1,4804840	1,2,3,9509	1,1;2,2;3,9508
12173	消灭4804841个敌人	1,4804841	1,2,3,9510	1,1;2,2;3,9509
12174	消灭4804842个敌人	1,4804842	1,2,3,9511	1,1;2,2;3,9510
12175	消灭4804843个敌人	1,4804843	1,2,3,9512	1,1;2,2;3,9511
12176	消灭4804844个敌人	1,4804844	1,2,3,9513	1,1;2,2;3,9512
12177	消灭4804845个敌人	1,4804845	1,2,3,9514	1,1;2,2;3,9513
12178	消灭4804846个敌人	1,4804846	1,2,3,9515	1,1;2,2;3,9514
12179	消灭4804847个敌人	1,4804847	1,2,3,9516	1,1;2,2;3,9515
12180	消灭4804848个敌人	1,4804848	1,2,3,9517	1,1;2,2;3,9516
12181	消灭4804849个敌人	1,4804849	1,2,3,9518	1,1;2,2;3,9517
12182	消灭4804850个敌人	1,4804850	1,2,3,9519	1,1;2,2;3,9518
12183	消灭4804851个敌人	1,4804851	1,2,3,9520	1,1;2,2;3,9519
12184	消灭4804852个敌人	1,4804852	1,2,3,9521	1,1;2,2;3,9520
12185	消灭4804853个敌人	1,4804853	1,2,3,9522	1,1;2,2;3,9521
12186	消灭4804854个敌人	1,4804854	1,2,3,9523	1,1;2,2;3,9522
12187	消灭4804855个敌人	1,4804855	1,2,3,9524	1,1;2,2;3,9523
12188	消灭4804856个敌人	1,4804856	1,2,3,9525	1,1;2,2;3,9524
12189	消灭4804857个敌人	1,4804857	1,2,3,9526	1,1;2,2;3,9525
12190	消灭4804858个敌人	1,4804858	1,2,3,9527	1,1;2,2;3,9526
12191	消灭4804859个敌人	1,4804859	1,2,3,9528	1,1;2,2;3,9527
12192	消灭4804860个敌人	1,4804860	1,2,3,9529	1,1;2,2;3,9528
12193	消灭4804861个敌人	1,4804861	1,2,3,9530	1,1;2,2;3,9529
12194	消灭4804862个敌人	1,4804862	1,2,3,9531	1,1;2,2;3,9530
12195	消灭4804863个敌人	1,4804863	1,2,3,9532	1,1;2,2;3,9531
12196	消灭4804864个敌人	1,4804864	1,2,3,9533	1,1;2,2;3,9532
12197	消灭4804865个敌人	1,4804865	1,2,3,9534	1,1;2,2;3,9533
12198	消灭4804866个敌人	1,4804866	1,2,3,9535	1,1;2,2;3,9534
12199	消灭4804867个敌人	1,4804867	1,2,3,9536	1,1;2,2;3,9535
12200	消灭4804868个敌人	1,4804868	1,2,3,9537	1,1;2,2;3,9536
12201	消灭4804869个敌人	1,4804869	1,2,3,9538	1,1;2,2;3,9537
12202	消灭4804870个敌人	1,4804870	1,2,3,9539	1,1;2,2;3,9538
12203	消灭4804871个敌人	1,4804871	1,2,3,9540	1,1;2,2;3,9539
12204	消灭4804872个敌人	1,4804872	1,2,3,9541	1,1;2,2;3,9540
12205	消灭4804873个敌人	1,4804873	1,2,3,9542	1,1;2,2;3,9541
12206	消灭4804874个敌人	1,4804874	1,2,3,9543	1,1;2,2;3,9542
12207	消灭4804875个敌人	1,4804875	1,2,3,9544	1,1;2,2;3,9543
12208	消灭4804876个敌人	1,4804876	1,2,3,9545	1,1;2,2;3,9544
12209	消灭4804877个敌人	1,4804877	1,2,3,9546	1,1;2,2;3,9545
12210	消灭4804878个敌人	1,4804878	1,2,3,9547	1,1;2,2;3,9546
12211	消灭4804879个敌人	1,4804879	1,2,3,9548	1,1;2,2;3,9547
12212	消灭4804880个敌人	1,4804880	1,2,3,9549	1,1;2,2;3,9548
12213	消灭4804881个敌人	1,4804881	1,2,3,9550	1,1;2,2;3,9549
12214	消灭4804882个敌人	1,4804882	1,2,3,9551	1,1;2,2;3,9550
12215	消灭4804883个敌人	1,4804883	1,2,3,9552	1,1;2,2;3,9551
12216	消灭4804884个敌人	1,4804884	1,2,3,9553	1,1;2,2;3,9552
12217	消灭4804885个敌人	1,4804885	1,2,3,9554	1,1;2,2;3,9553
12218	消灭4804886个敌人	1,4804886	1,2,3,9555	1,1;2,2;3,9554
12219	消灭4804887个敌人	1,4804887	1,2,3,9556	1,1;2,2;3,9555
12220	消灭4804888个敌人	1,4804888	1,2,3,9557	1,1;2,2;3,9556
12221	消灭4804889个敌人	1,4804889	1,2,3,9558	1,1;2,2;3,9557
12222	消灭4804890个敌人	1,4804890	1,2,3,9559	1,1;2,2;3,9558
12223	消灭4804891个敌人	1,4804891	1,2,3,9560	1,1;2,2;3,9559
12224	消灭4804892个敌人	1,4804892	1,2,3,9561	1,1;2,2;3,9560
12225	消灭4804893个敌人	1,4804893	1,2,3,9562	1,1;2,2;3,9561
12226	消灭4804894个敌人	1,4804894	1,2,3,9563	1,1;2,2;3,9562
12227	消灭4804895个敌人	1,4804895	1,2,3,9564	1,1;2,2;3,9563
12228	消灭4804896个敌人	1,4804896	1,2,3,9565	1,1;2,2;3,9564
12229	消灭4804897个敌人	1,4804897	1,2,3,9566	1,1;2,2;3,9565
12230	消灭4804898个敌人	1,4804898	1,2,3,9567	1,1;2,2;3,9566
12231	消灭4804899个敌人	1,4804899	1,2,3,9568	1,1;2,2;3,9567
12232	消灭4804900个敌人	1,4804900	1,2,3,9569	1,1;2,2;3,9568
12233	消灭4804901个敌人	1,4804901	1,2,3,9570	1,1;2,2;3,9569
12234	消灭4804902个敌人	1,4804902	1,2,3,9571	1,1;2,2;3,9570
12235	消灭4804903个敌人	1,4804903	1,2,3,9572	1,1;2,2;3,9571
12236	消灭4804904个敌人	1,4804904	1,2,3,9573	1,1;2,2;3,9572
12237	消灭4804905个敌人	1,4804905	1,2,3,9574	1,1;2,2;3,9573
12238	消灭4804906个敌人	1,4804906	1,2,3,9575	1,1;2,2;3,9574
12239	消灭4804907个敌人	1,4804907	1,2,3,9576	1,1;2,2;3,9575
12240	消灭4804908个敌人	1,4804908	1,2,3,9577	1,1;2,2;3,9576
12241	消灭4804909个敌人	1,4804909	1,2,3,9578	1,1;2,2;3,9577
12242	消灭4804910个敌人	1,4804910	1,2,3,9579	1,1;2,2;3,9578
12243	消灭4804911个敌人	1,4804911	1,2,3,9580	1,1;2,2;3,9579
12244	消灭4804912个敌人	1,4804912	1,2,3,9581	1,1;2,2;3,9580
12245	消灭4804913个敌人	1,4804913	1,2,3,9582	1,1;2,2;3,9581
12246	消灭4804914个敌人	1,4804914	1,2,3,9583	1,1;2,2;3,9582
12247	消灭4804915个敌人	1,4804915	1,2,3,9584	1,1;2,2;3,9583
12248	消灭4804916个敌人	1,4804916	1,2,3,9585	1,1;2,2;3,9584
12249	消灭4804917个敌人	1,4804917	1,2,3,9586	1,1;2,2;3,9585
12250	消灭4804918个敌人	1,4804918	1,2,3,9587	1,1;2,2;3,9586
12251	消灭4804919个敌人	1,4804919	1,2,3,9588	1,1;2,2;3,9587
12252	消灭4804920个敌人	1,4804920	1,2,3,9589	1,1;2,2;3,9588
12253	消灭4804921个敌人	1,4804921	1,2,3,9590	1,1;2,2;3,9589
12254	消灭4804922个敌人	1,4804922	1,2,3,9591	1,1;2,2;3,9590
12255	消灭4804923个敌人	1,4804923	1,2,3,9592	1,1;2,2;3,9591
12256	消灭4804924个敌人	1,4804924	1,2,3,9593	1,1;2,2;3,9592
12257	消灭4804925个敌人	1,4804925	1,2,3,9594	1,1;2,2;3,9593
12258	消灭4804926个敌人	1,4804926	1,2,3,9595	1,1;2,2;3,9594
12259	消灭4804927个敌人	1,4804927	1,2,3,9596	1,1;2,2;3,9595
12260	消灭4804928个敌人	1,4804928	1,2,3,9597	1,1;2,2;3,9596
12261	消灭4804929个敌人	1,4804929	1,2,3,9598	1,1;2,2;3,9597
12262	消灭4804930个敌人	1,4804930	1,2,3,9599	1,1;2,2;3,9598
12263	消灭4804931个敌人	1,4804931	1,2,3,9600	1,1;2,2;3,9599
12264	消灭4804932个敌人	1,4804932	1,2,3,9601	1,1;2,2;3,9600
12265	消灭4804933个敌人	1,4804933	1,2,3,9602	1,1;2,2;3,9601
12266	消灭4804934个敌人	1,4804934	1,2,3,9603	1,1;2,2;3,9602
12267	消灭4804935个敌人	1,4804935	1,2,3,9604	1,1;2,2;3,9603
12268	消灭4804936个敌人	1,4804936	1,2,3,9605	1,1;2,2;3,9604
12269	消灭4804937个敌人	1,4804937	1,2,3,9606	1,1;2,2;3,9605
12270	消灭4804938个敌人	1,4804938	1,2,3,9607	1,1;2,2;3,9606
12271	消灭4804939个敌人	1,4804939	1,2,3,9608	1,1;2,2;3,9607
12272	消灭4804940个敌人	1,4804940	1,2,3,9609	1,1;2,2;3,9608
12273	消灭4804941个敌人	1,4804941	1,2,3,9610	1,1;2,2;3,9609
12274	消灭4804942个敌人	1,4804942	1,2,3,9611	1,1;2,2;3,9610
12275	消灭4804943个敌人	1,4804943	1,2,3,9612	1,1;2,2;3,9611
12276	消灭4804944个敌人	1,4804944	1,2,3,9613	1,1;2,2;3,9612
12277	消灭4804945个敌人	1,4804945	1,2,3,9614	1,1;2,2;3,9613
12278	消灭4804946个敌人	1,4804946	1,2,3,9615	1,1;2,2;3,9614
12279	消灭4804947个敌人	1,4804947	1,2,3,9616	1,1;2,2;3,9615
12280	消灭4804948个敌人	1,4804948	1,2,3,9617	1,1;2,2;3,9616
12281	消灭4804949个敌人	1,4804949	1,2,3,9618	1,1;2,2;3,9617
12282	消灭4804950个敌人	1,4804950	1,2,3,9619	1,1;2,2;3,9618
12283	消灭4804951个敌人	1,4804951	1,2,3,9620	1,1;2,2;3,9619
12284	消灭4804952个敌人	1,4804952	1,2,3,9621	1,1;2,2;3,9620
12285	消灭4804953个敌人	1,4804953	1,2,3,9622	1,1;2,2;3,9621
12286	消灭4804954个敌人	1,4804954	1,2,3,9623	1,1;2,2;3,9622
12287	消灭4804955个敌人	1,4804955	1,2,3,9624	1,1;2,2;3,9623
12288	消灭4804956个敌人	1,4804956	1,2,3,9625	1,1;2,2;3,9624
12289	消灭4804957个敌人	1,4804957	1,2,3,9626	1,1;2,2;3,9625
12290	消灭4804958个敌人	1,4804958	1,2,3,9627	1,1;2,2;3,9626
12291	消灭4804959个敌人	1,4804959	1,2,3,9628	1,1;2,2;3,9627
12292	消灭4804960个敌人	1,4804960	1,2,3,9629	1,1;2,2;3,9628
12293	消灭4804961个敌人	1,4804961	1,2,3,9630	1,1;2,2;3,9629
12294	消灭4804962个敌人	1,4804962	1,2,3,9631	1,1;2,2;3,9630
12295	消灭4804963个敌人	1,4804963	1,2,3,9632	1,1;2,2;3,9631
12296	消灭4804964个敌人	1,4804964	1,2,3,9633	1,1;2,2;3,9632
12297	消灭4804965个敌人	1,4804965	1,2,3,9634	1,1;2,2;3,9633
12298	消灭4804966个敌人	1,4804966	1,2,3,9635	1,1;2,2;3,9634
12299	消灭4804967个敌人	1,4804967	1,2,3,9636	1,1;2,2;3,9635
12300	消灭4804968个敌人	1,4804968	1,2,3,9637	1,1;2,2;3,9636
12301	消灭4804969个敌人	1,4804969	1,2,3,9638	1,1;2,2;3,9637
12302	消灭4804970个敌人	1,4804970	1,2,3,9639	1,1;2,2;3,9638
12303	消灭4804971个敌人	1,4804971	1,2,3,9640	1,1;2,2;3,9639
12304	消灭4804972个敌人	1,4804972	1,2,3,9641	1,1;2,2;3,9640
12305	消灭4804973个敌人	1,4804973	1,2,3,9642	1,1;2,2;3,9641
12306	消灭4804974个敌人	1,4804974	1,2,3,9643	1,1;2,2;3,9642
12307	消灭4804975个敌人	1,4804975	1,2,3,9644	1,1;2,2;3,9643
12308	消灭4804976个敌人	1,4804976	1,2,3,9645	1,1;2,2;3,9644
12309	消灭4804977个敌人	1,4804977	1,2,3,9646	1,1;2,2;3,9645
12310	消灭4804978个敌人	1,4804978	1,2,3,9647	1,1;2,2;3,9646
12311	消灭4804979个敌人	1,4804979	1,2,3,9648	1,1;2,2;3,9647
12312	消灭4804980个敌人	1,4804980	1,2,3,9649	1,1;2,2;3,9648
12313	消灭4804981个敌人	1,4804981	1,2,3,9650	1,1;2,2;3,9649
12314	消灭4804982个敌人	1,4804982	1,2,3,9651	1,1;2,2;3,9650
12315	消灭4804983个敌人	1,4804983	1,2,3,9652	1,1;2,2;3,9651
12316	消灭4804984个敌人	1,4804984	1,2,3,9653	1,1;2,2;3,9652
12317	消灭4804985个敌人	1,4804985	1,2,3,9654	1,1;2,2;3,9653
12318	消灭4804986个敌人	1,4804986	1,2,3,9655	1,1;2,2;3,9654
12319	消灭4804987个敌人	1,4804987	1,2,3,9656	1,1;2,2;3,9655
12320	消灭4804988个敌人	1,4804988	1,2,3,9657	1,1;2,2;3,9656
12321	消灭4804989个敌人	1,4804989	1,2,3,9658	1,1;2,2;3,9657
12322	消灭4804990个敌人	1,4804990	1,2,3,9659	1,1;2,2;3,9658
12323	消灭4804991个敌人	1,4804991	1,2,3,9660	1,1;2,2;3,9659
12324	消灭4804992个敌人	1,4804992	1,2,3,9661	1,1;2,2;3,9660
12325	消灭4804993个敌人	1,4804993	1,2,3,9662	1,1;2,2;3,9661
12326	消灭4804994个敌人	1,4804994	1,2,3,9663	1,1;2,2;3,9662
12327	消灭4804995个敌人	1,4804995	1,2,3,9664	1,1;2,2;3,9663
12328	消灭4804996个敌人	1,4804996	1,2,3,9665	1,1;2,2;3,9664
12329	消灭4804997个敌人	1,4804997	1,2,3,9666	1,1;2,2;3,9665
12330	消灭4804998个敌人	1,4804998	1,2,3,9667	1,1;2,2;3,9666
12331	消灭4804999个敌人	1,4804999	1,2,3,9668	1,1;2,2;3,9667
12332	消灭4805000个敌人	1,4805000	1,2,3,9669	1,1;2,2;3,9668
12333	消灭4805001个敌人	1,4805001	1,2,3,9670	1,1;2,2;3,9669
12334	消灭4805002个敌人	1,4805002	1,2,3,9671	1,1;2,2;3,9670
12335	消灭4805003个敌人	1,4805003	1,2,3,9672	1,1;2,2;3,9671
12336	消灭4805004个敌人	1,4805004	1,2,3,9673	1,1;2,2;3,9672
12337	消灭4805005个敌人	1,4805005	1,2,3,9674	1,1;2,2;3,9673
12338	消灭4805006个敌人	1,4805006	1,2,3,9675	1,1;2,2;3,9674
12339	消灭4805007个敌人	1,4805007	1,2,3,9676	1,1;2,2;3,9675
12340	消灭4805008个敌人	1,4805008	1,2,3,9677	1,1;2,2;3,9676
12341	消灭4805009个敌人	1,4805009	1,2,3,9678	1,1;2,2;3,9677
12342	消灭4805010个敌人	1,4805010	1,2,3,9679	1,1;2,2;3,9678
12343	消灭4805011个敌人	1,4805011	1,2,3,9680	1,1;2,2;3,9679
12344	消灭4805012个敌人	1,4805012	1,2,3,9681	1,1;2,2;3,9680
12345	消灭4805013个敌人	1,4805013	1,2,3,9682	1,1;2,2;3,9681
12346	消灭4805014个敌人	1,4805014	1,2,3,9683	1,1;2,2;3,9682
12347	消灭4805015个敌人	1,4805015	1,2,3,9684	1,1;2,2;3,9683
12348	消灭4805016个敌人	1,4805016	1,2,3,9685	1,1;2,2;3,9684
12349	消灭4805017个敌人	1,4805017	1,2,3,9686	1,1;2,2;3,9685
12350	消灭4805018个敌人	1,4805018	1,2,3,9687	1,1;2,2;3,9686
12351	消灭4805019个敌人	1,4805019	1,2,3,9688	1,1;2,2;3,9687
12352	消灭4805020个敌人	1,4805020	1,2,3,9689	1,1;2,2;3,9688
12353	消灭4805021个敌人	1,4805021	1,2,3,9690	1,1;2,2;3,9689
12354	消灭4805022个敌人	1,4805022	1,2,3,9691	1,1;2,2;3,9690
12355	消灭4805023个敌人	1,4805023	1,2,3,9692	1,1;2,2;3,9691
12356	消灭4805024个敌人	1,4805024	1,2,3,9693	1,1;2,2;3,9692
12357	消灭4805025个敌人	1,4805025	1,2,3,9694	1,1;2,2;3,9693
12358	消灭4805026个敌人	1,4805026	1,2,3,9695	1,1;2,2;3,9694
12359	消灭4805027个敌人	1,4805027	1,2,3,9696	1,1;2,2;3,9695
12360	消灭4805028个敌人	1,4805028	1,2,3,9697	1,1;2,2;3,9696
12361	消灭4805029个敌人	1,4805029	1,2,3,9698	1,1;2,2;3,9697
12362	消灭4805030个敌人	1,4805030	1,2,3,9699	1,1;2,2;3,9698
12363	消灭4805031个敌人	1,4805031	1,2,3,9700	1,1;2,2;3,9699
12364	消灭4805032个敌人	1,4805032	1,2,3,9701	1,1;2,2;3,9700
12365	消灭4805033个敌人	1,4805033	1,2,3,9702	1,1;2,2;3,9701
12366	消灭4805034个敌人	1,4805034	1,2,3,9703	1,1;2,2;3,9702
12367	消灭4805035个敌人	1,4805035	1,2,3,9704	1,1;2,2;3,9703
12368	消灭4805036个敌人	1,4805036	1,2,3,9705	1,1;2,2;3,9704
12369	消灭4805037个敌人	1,4805037	1,2,3,9706	1,1;2,2;3,9705
12370	消灭4805038个敌人	1,4805038	1,2,3,9707	1,1;2,2;3,9706
12371	消灭4805039个敌人	1,4805039	1,2,3,9708	1,1;2,2;3,9707
12372	消灭4805040个敌人	1,4805040	1,2,3,9709	1,1;2,2;3,9708
12373	消灭4805041个敌人	1,4805041	1,2,3,9710	1,1;2,2;3,9709
12374	消灭4805042个敌人	1,4805042	1,2,3,9711	1,1;2,2;3,9710
12375	消灭4805043个敌人	1,4805043	1,2,3,9712	1,1;2,2;3,9711
12376	消灭4805044个敌人	1,4805044	1,2,3,9713	1,1;2,2;3,9712
12377	消灭4805045个敌人	1,4805045	1,2,3,9714	1,1;2,2;3,9713
12378	消灭4805046个敌人	1,4805046	1,2,3,9715	1,1;2,2;3,9714
12379	消灭4805047个敌人	1,4805047	1,2,3,9716	1,1;2,2;3,9715
12380	消灭4805048个敌人	1,4805048	1,2,3,9717	1,1;2,2;3,9716
12381	消灭4805049个敌人	1,4805049	1,2,3,9718	1,1;2,2;3,9717
12382	消灭4805050个敌人	1,4805050	1,2,3,9719	1,1;2,2;3,9718
12383	消灭4805051个敌人	1,4805051	1,2,3,9720	1,1;2,2;3,9719
12384	消灭4805052个敌人	1,4805052	1,2,3,9721	1,1;2,2;3,9720
12385	消灭4805053个敌人	1,4805053	1,2,3,9722	1,1;2,2;3,9721
12386	消灭4805054个敌人	1,4805054	1,2,3,9723	1,1;2,2;3,9722
12387	消灭4805055个敌人	1,4805055	1,2,3,9724	1,1;2,2;3,9723
12388	消灭4805056个敌人	1,4805056	1,2,3,9725	1,1;2,2;3,9724
12389	消灭4805057个敌人	1,4805057	1,2,3,9726	1,1;2,2;3,9725
12390	消灭4805058个敌人	1,4805058	1,2,3,9727	1,1;2,2;3,9726
12391	消灭4805059个敌人	1,4805059	1,2,3,9728	1,1;2,2;3,9727
12392	消灭4805060个敌人	1,4805060	1,2,3,9729	1,1;2,2;3,9728
12393	消灭4805061个敌人	1,4805061	1,2,3,9730	1,1;2,2;3,9729
12394	消灭4805062个敌人	1,4805062	1,2,3,9731	1,1;2,2;3,9730
12395	消灭4805063个敌人	1,4805063	1,2,3,9732	1,1;2,2;3,9731
12396	消灭4805064个敌人	1,4805064	1,2,3,9733	1,1;2,2;3,9732
12397	消灭4805065个敌人	1,4805065	1,2,3,9734	1,1;2,2;3,9733
